eeschema (2013-07-07 BZR 4022)-stable  >> Creation date: 2/10/2014 8:52:05 AM
#Cmp ( order = Reference )
| C1         0.1uF       ; C2          
| C2         0.1uF       ; C2          
| C3         0.1uF       ; C2          
| C4         0.1uF       ; C2          
| C5         0.1uF       ; C2          
| C6         0.1uF       ; C2          
| C7         0.1uF       ; C2          
| C8         0.1uF       ; C2          
| C9         0.1uF       ; C2          
| C10        0.1uF       ; C2          
| C11        0.1uF       ; C2          
| C12        0.1uF       ; C2          
| C13        0.1uF       ; C2          
| C14        0.1uF       ; C2          
| C15        0.1uF       ; C2          
| C16        0.1uF       ; C2          
| C17        0.47uF      ; C2          
| C18        10uF        ; C1V5        
| C19        10uF        ; C1V5        
| C20        10uF        ; C1V5        
| C21        220uF       ; C1V8        
| C22        22uF        ; C1V7        
| C23        22uF        ; C1V7        
| D1         SD          ; LED_5mm     
| D2         5V          ; LED_5mm     
| D3         3V3         ; LED_5mm     
| D4         PROP        ; LED_5mm     
| F1         1.1A        ; C2          
| JP1        NORM/LOAD   ; PIN_ARRAY_3X1
| JP2        RESET_SEL   ; PIN_ARRAY_3X1
| P1         C96ABC      ; C96ABC      
| P2         SERIAL      ; SHROUDED_5x2
| P3         SD CARD     ; SDcard-mini_04A
| P4         KEYBOARD    ; Conn_Mini_DIN_6pin
| P5         VGA         ; Conn_Dsub_DE15F
| P6         BOARD_ID    ; PIN_ARRAY_6X2
| P7         PROPPLUG    ; PIN_ARRAY_4X1
| P8         POWER       ; JACK_ALIM   
| R1         270         ; R3          
| R2         270         ; R3          
| R3         270         ; R3          
| R4         270         ; R3          
| R5         270         ; R3          
| R6         510         ; R3          
| R7         510         ; R3          
| R8         510         ; R3          
| R9         130         ; R3          
| R10        130         ; R3          
| R11        130         ; R3          
| R12        100         ; R3          
| R13        100         ; R3          
| R14        240         ; R3          
| R15        330         ; R3          
| R16        1K          ; R3          
| R17        10K         ; R3          
| R18        10K         ; R3          
| R19        10K         ; R3          
| R20        10K         ; R3          
| R21        330         ; R3          
| R22        150         ; R3          
| R23        330         ; R3          
| RP1        1K          ; DIP14_300   
| RP2        1K          ; DIP14_300   
| RR1        10K         ; SIL-10      
| SP1        SPEAKER     ; Speaker_12mm
| SW1        RESET       ; SW_PUSH_SMALL
| U1         P8X32A      ; DIP40_600   
| U2         24C512      ; DIP8_300    
| U3         74LS682     ; DIP20_300   
| U4         74LS245     ; DIP20_300   
| U5         74LS241     ; DIP20_300   
| U6         74LS241     ; DIP20_300   
| U7         74LS06      ; DIP14_300   
| U8         74LS04      ; DIP14_300   
| U9         74LS74      ; DIP14_300   
| U10        MAX232A     ; DIP16_300   
| U11        LM3940      ; LM78XX      
| X1         5MHz        ; Crystal_HC-49U_Horiz
#End Cmp

#End List
